state_residence,district_residence,Date,new_case,negative_case,Failed_test,Total_test
TELANGANA,NAGARKURNOOL,2021-03-22,0,1672,0,1672
TELANGANA,NAGARKURNOOL,2021-03-23,0,1689,0,1689
TELANGANA,NAGARKURNOOL,2021-03-24,0,1773,0,1773
TELANGANA,NAGARKURNOOL,2021-03-25,0,1671,0,1671
TELANGANA,NALGONDA,2021-03-21,0,4279,0,4279
TELANGANA,NALGONDA,2021-03-22,0,2563,0,2563
TELANGANA,NALGONDA,2021-03-23,2,2428,0,2430
TELANGANA,NALGONDA,2021-03-24,2,1893,0,1895
TELANGANA,NALGONDA,2021-03-25,0,2584,0,2584
TELANGANA,NARAYANPET,2021-03-21,0,584,0,584
TELANGANA,NARAYANPET,2021-03-22,0,394,0,394
TELANGANA,NARAYANPET,2021-03-23,0,161,0,161
TELANGANA,NARAYANPET,2021-03-24,0,376,0,376
TELANGANA,NARAYANPET,2021-03-25,0,172,0,172
TELANGANA,NIRMAL,2021-03-21,0,1588,0,1588
TELANGANA,NIRMAL,2021-03-22,0,1073,0,1073
TELANGANA,NIRMAL,2021-03-23,2,906,0,908
TELANGANA,NIRMAL,2021-03-24,0,1223,0,1223
TELANGANA,NIRMAL,2021-03-25,0,681,0,681
TELANGANA,NIZAMABAD,2021-03-21,1,2332,0,2333
TELANGANA,NIZAMABAD,2021-03-22,0,2441,0,2441
TELANGANA,NIZAMABAD,2021-03-23,0,2705,0,2705
TELANGANA,NIZAMABAD,2021-03-24,1,1236,0,1237
TELANGANA,NIZAMABAD,2021-03-25,0,1258,0,1258
TELANGANA,PEDDAPALLI,2021-03-21,0,2982,0,2982
TELANGANA,PEDDAPALLI,2021-03-22,0,2072,0,2072
TELANGANA,PEDDAPALLI,2021-03-23,0,2723,0,2723
TELANGANA,PEDDAPALLI,2021-03-24,0,1510,0,1510
TELANGANA,PEDDAPALLI,2021-03-25,0,1627,0,1627
TELANGANA,RAJANNA SIRCILLA,2021-03-21,0,755,0,755
TELANGANA,RAJANNA SIRCILLA,2021-03-22,0,316,0,316
TELANGANA,RAJANNA SIRCILLA,2021-03-23,0,464,0,464
TELANGANA,RAJANNA SIRCILLA,2021-03-24,0,374,0,374
TELANGANA,RAJANNA SIRCILLA,2021-03-25,0,550,0,550
TELANGANA,RANGA REDDY,2021-03-21,12,5943,0,5955
TELANGANA,RANGA REDDY,2021-03-22,17,3546,1,3564
TELANGANA,RANGA REDDY,2021-03-23,11,4597,2,4610
TELANGANA,RANGA REDDY,2021-03-24,14,3412,0,3426
TELANGANA,RANGA REDDY,2021-03-25,23,3457,1,3481
TELANGANA,SANGAREDDY,2021-03-21,0,1332,0,1332
TELANGANA,SANGAREDDY,2021-03-22,0,959,0,959
TELANGANA,SANGAREDDY,2021-03-23,0,1031,0,1031
TELANGANA,SANGAREDDY,2021-03-24,0,940,1,941
TELANGANA,SANGAREDDY,2021-03-25,2,1182,0,1184
TELANGANA,SIDDIPET,2021-03-21,0,3264,0,3264
TELANGANA,SIDDIPET,2021-03-22,0,2038,0,2038
TELANGANA,SIDDIPET,2021-03-23,0,1958,0,1958
TELANGANA,SIDDIPET,2021-03-24,5,1376,0,1381
TELANGANA,SIDDIPET,2021-03-25,0,1836,0,1836
TELANGANA,SURYAPET,2021-03-21,0,1608,0,1608
TELANGANA,SURYAPET,2021-03-22,0,1329,0,1329
TELANGANA,SURYAPET,2021-03-23,1,865,0,866
TELANGANA,SURYAPET,2021-03-24,0,642,0,642
TELANGANA,SURYAPET,2021-03-25,0,740,0,740
TELANGANA,VIKARABAD,2021-03-21,0,1348,0,1348
TELANGANA,VIKARABAD,2021-03-22,1,914,0,915
TELANGANA,VIKARABAD,2021-03-23,2,858,0,860
TELANGANA,VIKARABAD,2021-03-24,1,879,0,880
TELANGANA,VIKARABAD,2021-03-25,1,810,0,811
TELANGANA,WANAPARTHY,2021-03-21,0,550,0,550
TELANGANA,WANAPARTHY,2021-03-22,0,751,0,751
TELANGANA,WANAPARTHY,2021-03-23,0,1047,0,1047
TELANGANA,WANAPARTHY,2021-03-24,0,433,0,433
TELANGANA,WANAPARTHY,2021-03-25,0,541,0,541
TELANGANA,WARANGAL RURAL,2021-03-21,0,1798,0,1798
TELANGANA,WARANGAL RURAL,2021-03-22,5,989,0,994
TELANGANA,WARANGAL RURAL,2021-03-23,2,886,0,888
TELANGANA,WARANGAL RURAL,2021-03-24,1,694,0,695
TELANGANA,WARANGAL RURAL,2021-03-25,0,751,0,751
TELANGANA,WARANGAL URBAN,2021-03-21,0,3976,0,3976
TELANGANA,WARANGAL URBAN,2021-03-22,2,2454,0,2456
TELANGANA,WARANGAL URBAN,2021-03-23,1,2692,0,2693
TELANGANA,WARANGAL URBAN,2021-03-24,0,2320,0,2320
TELANGANA,WARANGAL URBAN,2021-03-25,3,3447,0,3450
